id,发生年度,线路名称,电压等级,故障日期,故障时刻,修复送电日期,送电时刻,电缆厂家,电缆型号,附件厂家,投运年份,安装单位,故障部位,相别,故障原因类型,外破单位,故障原因分析
1,2016,荣天2255,220kV,2016/4/26,13:56,2016/4/30,13:13,沈阳电缆厂,CYZQ102 1*920,上海三原,1992/9/21,上海电力电缆工程有限公司,大连西路247号门口“荣天2255”电缆C相,C,外力破坏,市区供电公司,故障原因为当天旺盛电力安装工程公司在大连西路247号门口进行电杆移杆施工，事前未告知我方任何信息，未办理包括绿化搬迁、电缆保护等任何施工手续，擅自开挖施工，当场致“荣天2255”直埋段电缆后期加固的简易混凝土保护损坏， “荣天2255”线路C相故障跳闸。
2,2016,庄华1705,110kV,2016/6/2,14:04,2016/6/7,15:18,沈阳古河,YJLW03 1*800,普睿斯曼,2008/6/1,上海电力电缆工程有限公司,北松公路华恒站门口的敞开井位置电缆本体,A,外力破坏,松江供电公司,上海鑫瑞管道工程有限公司在进行松江供电公司代工项目-上海华阳桥公共租凭住房建设工程时擅自将110KV电缆敞开井墙体凿开，致使庄华1705电缆腾空，A相电缆受损击穿。施工单位事前未办理绿卡，未征得我方同意，擅自施工导致电缆故障。
3,2016,航余1255,110kV,2016/8/13,20:30,2016/8/20,20:00,青岛汉缆,YJLW03 1*800,比瑞利,2006/6/1,上海电力电缆工程有限公司,长宁路江苏北路十字路口位置，故障段电缆为排管敷设,A,外破,上煤第一管线工程公司,故障原因系宇峥燃气管道工程公司在江苏路天然气管改造施工穿越长宁路时擅自开挖，事前未告知我方监护。当场导致“航余1255”线路A相故障跳闸。故障原因外力损坏。
4,2016,荣恒2206,220kV,2016/8/18,0:10,2016/8/21,6:00,沈阳电缆厂,CYZQ203 1*1000,沈阳电缆厂,1999/8/1,上海电力电缆工程有限公司,沪太路新村路十字路口位置，故障段电缆为排管敷设,A,外破,江河建设集团公司,故障原因系江河建设集团公司在沪太路新村路做临时信号灯排管时擅自开挖，事前未告知我方监护。当天首次进场施工，当场导致“荣恒2206（恒丰）”线路C相故障跳闸。故障原因外力损坏。
5,2016,恒远1241,110kV,2016/9/21,21:41,2016/9/24,13:10,上海电缆厂,YJLW03 1*630,上海电缆厂,2002/7/1,上海电力电缆工程有限公司,故障点位于恒丰路汉中路十字路口位置，故障段电缆为排管敷设,C,外破,上煤第一管线工程公司,故障原因系煤气一公司市北管理所在恒丰路汉中路口进行煤气泄漏查漏样洞开挖时擅自施工，事前未告知我方监护。当天首次进场施工，当场导致“恒远1241”线路C相故障跳闸。故障原因外力损坏。
6,2016,郊航2217,220kV,2016/11/9,14:25,2016/11/10,21:07,上海电缆厂,YJLW03 1*800,上海电缆厂,2003/2/1,上海电力电缆工程有限公司,故障点位于凯旋北路盘湾路十字路口位置，故障段电缆为排管敷设,A,外破,个体户,故障原因系道路侧饭店在人行道上擅自安装升降地桩做临时开挖，事前未告知我方监护。当天施工过程中，当场导致“郊航2217”A相故障跳闸。故障原因外力损坏。
7,2017,浏湾4245,220kV,2017/1/2,14:19,2017/1/5,20:08,青岛汉缆,YJLW03 1*1000,青岛汉缆,2015/3/1,上海电力电缆工程有限公司,长江西路778号（云峰钢材市场）停车场内,C,外破,云峰钢材市场,故障原因为云峰钢材市场排雨水管道所致，事前未办理任何施工证照，未告知我方监护。于开挖时，当场导致“浏湾4245”线路C相故障跳闸。故障原因外力破坏。
8,2017,民多1283已报国网,110kV,2017/8/20,21:48,2017/8/23,11:01,青岛汉缆,YJQ03-1*630,藤仓电缆附件厂,2008/5/1,上海电力电缆工程有限公司,电缆故障点位于中山北路花园路A相处,A,外力破坏-建设施工,上海水务建设工程有限公司,故障原因为上海水务建设工程有限公司事前未办理任何施工证照，未告知我方监护的情况下，擅自在电缆排管上方进行开挖样洞，当场导致“民多1283”线路A相故障跳闸，故障原因外力损坏。
9,2017,春钦1165已报国网,110kV,2017/12/6,13:20,2017/12/9,19:07,上海电缆厂,CYZQ22-1*700,,1991/1/18,,故障点距离长春站2.8公里，位于桂平路、钦州北路的电缆本体上,A,外损,上海新兴技术开发区联合发展有限公司,"2017年12月6日13:20，检修公司所辖110千伏“春钦1165”线路开关跳闸，重合闸不成功。故障录波仪显示为A相故障，故障点距离长春站2.8公里。经查，电缆故障点位于桂平路、钦州北路，故障原因为上海新兴技术开发区联合发展有限公司在进行样沟开挖时，未告知我方监护的情况下，擅自在电缆通道上方进行机械开挖，当场导致“春钦1165（钦州）”电缆A相本体故障跳闸。故障原因外力损坏。“春钦1165（钦州）”电缆故障抢修工作已经结束并恢复送电，抢修中新制绕包式直通接头1相，油样及耐压试验合格后汇报送电。
"
10,2017,银柳1522,110kV,2017/12/23,15:40,2017/12/24,1:37,上海电缆厂,YJLW03 1*630,——,2005/2/6,上海电力电缆工程有限公司,故障点位于杨高中路芳甸路口的电缆本体上,ABC,外损,申通集团地铁九号线项目公司,"2017年12月23日15：40，110千伏银柳1522线电缆A相开关跳闸，110千伏长柳开关站自切成功；17：28，110千伏银柳1517线电缆B相开关跳闸，110千伏长柳开关站失电。
经查，申通集团地铁九号线项目公司在杨高中路芳甸路口实施出入口维护桩施工前场地平整时，在尚未获取该施工点位绿卡并取得施工允许的情况下采用机械擅自施工，造成110千伏电缆外破跳闸。施工过程中先是造成银柳1517绝缘损坏但未立即引起跳闸，于15:40直接造成银柳1522电缆损坏跳闸，后于17:28银柳1517也最终故障跳闸。事件造成长柳开关站失电。该开关站两路出线分别向地铁民生路站、世纪大道站供电，但由于还有其它进线电源，未造成地铁站点的供电中断，未影响地铁正常运行，未造成任何社会影响。故障发生后，国网上海市电力公司检修公司立即组织开展故障抢修工作，计划更换银柳1522线、银柳1517线六相电缆共500米，安装中间接头12相。抢修工作在12月25日凌晨恢复两路电缆送电。在应急抢修阶段将对连云站、即墨站电缆线路安排运维人员开展不间断特巡保障，确保地铁张杨站、民生站正常运行。
"
