点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
1,10447,"31°14'45.027600""N","121°26'25.983600""E",0,1152.427,-2533.877,0,二组,1
2,10449,"31°14'08.080800""N","121°27'09.057600""E",0,14.343,-1394.231,-0.001,二组,2
3,10451,"31°14'19.276800""N","121°27'39.056400""E",0,359.105,-600.343,-0.001,二组,3
4,10452,"31°14'10.899600""N","121°27'40.582800""E",0,101.1,-559.958,-0.001,二组,4
5,10456,"31°13'39.244800""N","121°26'05.362800""E",0,-873.439,-3080.062,-0.001,二组,5
6,10457,"31°13'44.814000""N","121°25'55.837200""E",0,-701.846,-3332.115,0,二组,6
7,10478,"31°14'11.594400""N","121°28'06.888000""E",0,122.502,136.166,-0.001,二组,7
8,10486,"31°13'46.045200""N","121°28'01.639200""E",0,-664.374,-2.716,-0.001,二组,8
9,10496,"31°13'51.733200""N","121°28'08.738400""E",0,-489.187,185.159,-0.001,二组,9
10,10789,"31°14'01.143600""N","121°28'32.314800""E",0,-199.318,809.076,-0.001,二组,10
11,10401,"31°13'06.780000""N","121°26'09.038400""E",0,-1873.323,-2983.043,-0.001,二组,11
12,10489,"31°13'32.844000""N","121°28'09.883200""E",0,-1070.94,215.482,-0.001,二组,12
13,10490,"31°13'27.152400""N","121°28'12.601200""E",0,-1246.228,287.427,-0.001,二组,13
14,10682,"31°13'17.536800""N","121°26'46.298400""E",0,-1542.242,-1996.778,-0.001,二组,14
15,10683,"31°13'59.127600""N","121°28'41.444400""E",0,-261.38,1050.691,-0.001,二组,15
16,10776,"31°13'22.486800""N","121°29'39.418800""E",0,-1389.551,2585.247,-0.001,二组,16
17,10403,"31°11'30.944400""N","121°25'07.586400""E",0,-4824.335,-4610.796,-0.001,二组,17
18,10404,"31°11'19.417200""N","121°25'06.769200""E",0,-5179.342,-4632.579,-0.001,二组,18
19,10406,"31°11'21.307200""N","121°25'42.211200""E",0,-5121.481,-3694.175,-0.001,二组,19
20,10407,"31°11'41.445600""N","121°26'12.206400""E",0,-4501.486,-2899.851,-0.001,二组,20
21,10411,"31°10'43.262400""N","121°23'48.055200""E",0,-6291.769,-6717.344,-0.001,二组,21
22,10468,"31°11'51.496800""N","121°28'36.076800""E",0,-4192.195,909.076,-0.001,二组,22
